chainage,date,parameter,value,alert
0.0,2025-10-19,gauge,2.39,ok
0.1,2025-10-19,gauge,2.73,ok
0.2,2025-10-19,gauge,2.79,ok
0.3,2025-10-19,gauge,2.84,ok
0.4,2025-10-19,gauge,3.51,ok
0.5,2025-10-19,gauge,2.87,ok
0.6,2025-10-19,gauge,3.02,ok
0.7,2025-10-19,gauge,3.35,ok
0.8,2025-10-19,gauge,2.85,ok
0.9,2025-10-19,gauge,3.47,ok
1.0,2025-10-19,gauge,2.72,ok
1.1,2025-10-19,gauge,2.74,ok
1.2,2025-10-19,gauge,2.29,ok
1.3,2025-10-19,gauge,2.68,ok
1.4,2025-10-19,gauge,2.78,ok
1.5,2025-10-19,gauge,3.01,ok
1.6,2025-10-19,gauge,2.71,ok
1.7,2025-10-19,gauge,3.03,ok
1.8,2025-10-19,gauge,2.74,ok
1.9,2025-10-19,gauge,2.82,ok
2.0,2025-10-19,gauge,3.53,ok
2.1,2025-10-19,gauge,3.21,ok
2.2,2025-10-19,gauge,2.91,ok
2.3,2025-10-19,gauge,2.89,ok
2.4,2025-10-19,gauge,2.65,ok
2.5,2025-10-19,gauge,3.19,ok
2.6,2025-10-19,gauge,2.93,ok
2.7,2025-10-19,gauge,3.0,ok
2.8,2025-10-19,gauge,2.56,ok
2.9,2025-10-19,gauge,2.72,ok
3.0,2025-10-19,gauge,2.45,ok
3.1,2025-10-19,gauge,2.58,ok
3.2,2025-10-19,gauge,2.93,ok
3.3,2025-10-19,gauge,2.8,ok
3.4,2025-10-19,gauge,2.77,ok
3.5,2025-10-19,gauge,2.58,ok
3.6,2025-10-19,gauge,3.12,ok
3.7,2025-10-19,gauge,2.76,ok
3.8,2025-10-19,gauge,2.76,ok
3.9,2025-10-19,gauge,2.66,ok
4.0,2025-10-19,gauge,3.36,ok
4.1,2025-10-19,gauge,3.19,ok
4.2,2025-10-19,gauge,3.25,ok
4.3,2025-10-19,gauge,3.2,ok
4.4,2025-10-19,gauge,3.47,ok
4.5,2025-10-19,gauge,2.16,ok
4.6,2025-10-19,gauge,2.26,ok
